"sampling";"species";"age0";"age1";"age2";"age3";"age4";"age5";"age6";"age7";"age8";"age9";"age10"
"2001 1";"plaice";1.12463185283231e-07;0.134412821223973;0.515228074751494;0.2545622996831;0.078752042507325;0.0145478977422647;0.00184484812595394;0.000453493527393811;0.000116170442347997;3.94273953854498e-05;4.2812137576837e-05
"2001 1";"dab";2.79356120896604e-08;0.0809665343171307;0.397743055719963;0.321098437427183;0.143365912088856;0.0408216954898648;0.0107711943548223;0.00356231130718283;0.00107575689264052;0.000443769555162025;0.000151304911582396
"2001 2";"cod";1.61887169012273e-07;0.17303578573347;0.442544619017571;0.270967879870958;0.10271654836127;0.010044853948049;0.000417053860199496;0.000273097321312537;NA;NA;NA
"2001 2";"herring";3.586585389811e-06;0.0443447028662052;0.35528669239119;0.32133616823751;0.136590300798877;0.084941041567361;0.0353967757745584;0.0161044743938709;0.0059962573850376;NA;NA
"2001 2";"flounder";1.26393365425078e-06;0.129936938434412;0.605141745447443;0.209167636248558;0.0420475677903565;0.00971015434831015;0.0027105560610098;0.000817363897166636;0.000268910342336586;0.000131526291674273;6.63372050796415e-05
"2001 2";"plaice";0.000366812823645627;0.19683266261311;0.525221538926339;0.206017104489197;0.0587769684045586;0.0107900032003077;0.00144390022571283;0.00037830654787779;9.95920302422193e-05;3.41087843967011e-05;3.90019546122465e-05
"2001 2";"dab";6.02958337137422e-09;0.146829396138553;0.413041679459708;0.278894411720719;0.11477081410454;0.0331772653561552;0.00880056804956626;0.00303952290372523;0.000927917461881017;0.000387225154588633;0.000131193620979964
"2001 3";"cod";0.00473954585114144;0.247299595092398;0.472227095052166;0.203480271677156;0.0654254553643144;0.00637157020682819;0.000271985884465969;0.000184480871530326;NA;NA;NA
"2001 3";"herring";0.000145608921037455;0.0753686786693127;0.385888801084103;0.302744930906467;0.118230070175078;0.0708147443675109;0.0283422527698314;0.0135759660298659;0.00488894707679379;NA;NA
"2001 3";"flounder";0.000408047019735604;0.200939818941081;0.592211437631726;0.162912351702085;0.0324694306818419;0.00772307128099753;0.00220850207044011;0.000695310605075545;0.00024592925925533;0.000125911785718652;6.01890220435202e-05
"2001 3";"plaice";0.0182430108330803;0.261520354723895;0.500158819854811;0.165479922466132;0.0447365982779199;0.00820300626202124;0.0011808410463094;0.000324639881609642;8.63162529525654e-05;3.04623736744416e-05;3.60280275942707e-05
"2001 3";"dab";4.49988031828129e-06;0.208690983862227;0.41319189957313;0.244366557322475;0.0945637036141213;0.0278069474551752;0.00740927134106195;0.00267881222303685;0.000822150834821963;0.000346767732025333;0.000118406161606429
"2001 4";"cod";0.0719412200696437;0.324809113448297;0.438079461696359;0.12657461110008;0.0349481651821604;0.0033917104208172;0.000150051235869151;0.000105666846773131;NA;NA;NA
"2001 4";"herring";0.00227087161017103;0.123722853663517;0.405682486211738;0.275652642133628;0.0988879312083703;0.0568855481037412;0.0219826401593338;0.0110600469845796;0.00385497992492094;NA;NA
"2001 4";"flounder";0.0274190712444701;0.312497195289266;0.51258517852397;0.115653746262514;0.0233147183718514;0.00581383554234654;0.00174354393263106;0.000590174462204878;0.000215578998883467;0.000114050729051038;5.29066428107214e-05
"2001 4";"plaice";0.0927926283257813;0.3347065638006;0.418403120784666;0.117218070439426;0.0300322416654464;0.00559817378129912;0.000867866544242739;0.000256074583388378;6.97765302081469e-05;2.49360110818508e-05;3.05475338600059e-05
"2001 4";"dab";0.00897183453267063;0.287535286345811;0.39471660654805;0.202484429598887;0.0745417023988293;0.0223705101202073;0.00600270628798327;0.0022695620650076;0.00070403003565436;0.000300259895429198;0.000103072171470077
"2002 1";"cod";4.17660617540709e-11;0.16982128351323;0.383375313041409;0.352471664272977;0.0736420762878387;0.0186808254269943;0.00180979997185722;0.000199037443927183;NA;NA;NA
"2002 1";"herring";6.75491063378723e-08;0.0131790610237361;0.176262147540262;0.407627948750798;0.247215751876028;0.0826789996875847;0.0459201166205901;0.0180304074192297;0.00908549953266542;NA;NA
"2002 1";"flounder";1.92869701774109e-07;0.11027131077819;0.404342873905975;0.384258210848365;0.0778686564115859;0.0167774841154453;0.00436350957762982;0.00130504008290831;0.000464626564309621;0.000183478902792513;0.000164615943096988
"2002 1";"plaice";3.44224664321853e-07;0.191304821519818;0.385755747382632;0.318192240847259;0.0801815503247105;0.0198846632442455;0.00371815232345098;0.00063994447609274;0.000203643660097583;5.71310113292437e-05;6.17609857004408e-05
"2002 1";"dab";2.83496878874302e-07;0.0648679899122147;0.347199856395765;0.346865475329841;0.159373657194453;0.0566382306623481;0.0174841953681151;0.00472752673771871;0.00187753857219464;0.000585855712918443;0.000379390617552577
"2002 2";"cod";1.60805035242189e-07;0.277539347919165;0.40251311472403;0.262647136539338;0.0448254460252305;0.0112539032807144;0.00109465033648948;0.000126240369998131;NA;NA;NA
"2002 2";"herring";3.96676751923666e-06;0.0316627317022184;0.212246544006477;0.397827389123348;0.224095724875852;0.0716004908007875;0.0384669832521191;0.01632720641945;0.00776896305222863;NA;NA
"2002 2";"flounder";1.04212077139847e-05;0.199283119298209;0.429951775384186;0.295015035598625;0.0578490216546778;0.0126816945724629;0.0034324895644404;0.0010581069344469;0.000399632111373822;0.000164522632788254;0.000154181041076424
"2002 2";"plaice";0.000806130261330089;0.278604338897702;0.39403824009919;0.248904715658273;0.0595860593020129;0.0144662437848677;0.00280696967717202;0.000512727181074275;0.000170250856148259;4.95677672583038e-05;5.4756514971684e-05
"2002 2";"dab";1.42326304105777e-07;0.119069264076928;0.375223128262919;0.306646708207505;0.132301840792836;0.0457485779299958;0.0145640152078566;0.00396010606284856;0.00163729502247639;0.000514304295315067;0.000334617815015687
"2002 3";"cod";0.00140894191630323;0.384678070336992;0.391154340089626;0.187944244757031;0.0272248093119221;0.00684257322733317;0.000667167649174425;7.9852711617692e-05;NA;NA;NA
"2002 3";"herring";0.000180462529995535;0.0576924077295618;0.238431057130762;0.383063318652456;0.203749542446963;0.0625535827052285;0.0326204694803577;0.0149598803830059;0.0067492789416697;NA;NA
"2002 3";"flounder";0.00161670087877264;0.302357990467956;0.411488099843947;0.225912856295493;0.0441830330011458;0.0101009635494;0.00283555262391433;0.000880541284166785;0.000342561036292975;0.00014630485078097;0.000135396168130849
"2002 3";"plaice";0.0376354417643193;0.354252998728271;0.364478467401655;0.186938851044992;0.0435445010358205;0.010456051940088;0.00204665935610288;0.000413826813179396;0.000142212787087459;4.2946079737147e-05;4.80430487466935e-05
"2002 3";"dab";6.89414224762829e-05;0.173496333959585;0.388654961214981;0.270313393024509;0.1114295326349;0.037990261003986;0.0124186791614088;0.00339937721261944;0.00146445812101623;0.000462140951652255;0.000301921292865375
"2002 4";"cod";0.0201368543766997;0.509451345887716;0.33624293341744;0.115867819720739;0.0142590895616367;0.00364191440391223;0.000356142663715521;4.38999681414324e-05;NA;NA;NA
"2002 4";"herring";0.00293855320147936;0.103522745085536;0.259944979405244;0.356269139135242;0.178861344318182;0.0528171202675994;0.0267335428860908;0.0132520217360507;0.0056605539645753;NA;NA
"2002 4";"flounder";0.0582415455342816;0.430426722314974;0.324075757703237;0.147388022457919;0.0294621989635004;0.00717887812755059;0.00205996481458795;0.000658981785649766;0.000269258210301957;0.000120035601540964;0.000118634486456869
"2002 4";"plaice";0.169014607329916;0.407821014240118;0.274719465744516;0.114296532683521;0.0261141365172907;0.0063142829402761;0.00126382428462253;0.000279156128614125;0.000106893164392912;3.14272637881127e-05;3.8659702943355e-05
"2002 4";"dab";0.0287411752277609;0.241069984229776;0.37593271240902;0.222532540335948;0.0875497076635338;0.0295257638516443;0.00999770400973126;0.00276092207672889;0.00123738611394497;0.000393606900133266;0.000258497181779027
"2003 1";"cod";2.21107505392212e-13;0.0474505699738043;0.618308096235959;0.255713776254663;0.0687142739706613;0.00758745885876765;0.00199624754979188;0.000229577156132175;NA;NA;NA
"2003 1";"herring";8.05777119188204e-08;0.017375967952044;0.15861767673875;0.26858099054878;0.322633846203136;0.154509869551514;0.0440454911368499;0.0227981508382199;0.0114379264529947;NA;NA
"2003 1";"flounder";1.12744277304915e-07;0.179584073247849;0.490802117150785;0.215583859156369;0.0886831545914741;0.0182757273271295;0.00477333110998507;0.0014420973158636;0.0004626092952407;0.000196461034057505;0.000196457026968552
"2003 1";"plaice";3.602940599342e-07;0.300392128054808;0.421995504258868;0.189656920083279;0.0675757525969217;0.0154915894596062;0.00377030102022767;0.000775573895549396;0.000193023667341295;7.76779380333359e-05;7.11687313060918e-05
"2003 1";"dab";8.55607378145232e-07;0.138512857969655;0.279484842582504;0.320167774494851;0.166169458693385;0.0632903578585624;0.0213094691751736;0.0075005623676985;0.00208263775992291;0.000976071272534705;0.000505112218335167
"2003 2";"cod";9.42611082594044e-09;0.0790614064060081;0.683210083214325;0.18802908094255;0.0436550451407105;0.00464593203753807;0.00125212029220676;0.000146322540549947;NA;NA;NA
"2003 2";"herring";4.92498759594643e-06;0.041528699446775;0.198799230881101;0.264868096059315;0.291621690078109;0.135121634411338;0.0372907740600529;0.0208226544865952;0.00994229558911828;NA;NA
"2003 2";"flounder";8.01660313160526e-06;0.291210865803309;0.477979145063009;0.152631641424439;0.0600928811576984;0.0128908168239104;0.00346659396016504;0.00105206258619165;0.000346672345331455;0.000156152274856797;0.000165151957958278
"2003 2";"plaice";0.000888566081297539;0.398368077690794;0.402025609257878;0.139524449886676;0.0453464307579299;0.0104778543396795;0.00256517518241049;0.000533877720159132;0.000149151051881737;6.1539066961121e-05;5.92689643329504e-05
"2003 2";"dab";2.21920796314189e-07;0.228042377465949;0.292152147203643;0.273653953783072;0.131368847689533;0.0493351783939778;0.0165176223952919;0.00600690722010761;0.00167959188867864;0.000817637550486936;0.000425514488463991
"2003 3";"cod";0.00424613935348646;0.114001387192627;0.713200413085976;0.136343793549139;0.0283761109797009;0.0029276100805138;0.000810486389171608;9.40593693850914e-05;NA;NA;NA
"2003 3";"herring";0.000245012228149952;0.0747372270489202;0.229212964576511;0.255231366038932;0.262958823318186;0.118184902948084;0.0316704905354717;0.0191167386897646;0.00864247461598001;NA;NA
"2003 3";"flounder";0.00189301042037877;0.404025408624495;0.427386575110898;0.110785119718692;0.0424826480016328;0.00939332741006259;0.00268185564144769;0.000822750660534502;0.000266422924543506;0.000127407450324201;0.00013547403699079
"2003 3";"plaice";0.0375159166001463;0.469780719336367;0.352107221496511;0.100623756199756;0.0305092679275945;0.00710520908208888;0.00176831668262566;0.00037408852508631;0.000115639610140145;4.95306876001032e-05;5.03338520846626e-05
"2003 3";"dab";0.000135968690586112;0.308229632503658;0.291070870787439;0.234987047972876;0.105897156513103;0.0391864791509907;0.0131219680293005;0.00492233804540986;0.00138283579614766;0.000700434403448018;0.000365268107040375
"2003 4";"cod";0.0641920275128643;0.159467984417446;0.670778637768426;0.0871987668093438;0.0162099113337253;0.0016294218240859;0.000467858699139882;5.53916349689083e-05;NA;NA;NA
"2003 4";"herring";0.00409053372488405;0.130312411714771;0.255200178932596;0.235661446651583;0.226097896072906;0.0989332040922101;0.0257379545819646;0.0167562790387864;0.00721009519029918;NA;NA
"2003 4";"flounder";0.0758664459641284;0.51282842832758;0.309055427679491;0.0675887679941961;0.0258980241143326;0.0060253874473121;0.00179260723905639;0.00056300574862535;0.00018675697029858;9.26759657507725e-05;0.000102472549228614
"2003 4";"plaice";0.147301220279722;0.512695484493077;0.257206344685848;0.0601425401453334;0.0171791632501659;0.00405929332485156;0.00103878213293564;0.000226987631062018;7.92250197369651e-05;3.47564975212058e-05;3.62025397463834e-05
"2003 4";"dab";0.0416521614323591;0.388695236585022;0.265058311416615;0.182879913581566;0.0779352805228422;0.0285132524602101;0.00961617423255628;0.00374186323145974;0.00105858821327369;0.000556944068737789;0.000292274255358415
"2004 1";"cod";4.91867187660913e-10;0.158091490377896;0.208280563727807;0.566893186843718;0.0556380306874955;0.00979004637836805;0.000961203039919407;0.000345478452928906;NA;NA;NA
"2004 1";"herring";5.8733267021415e-08;0.0234770029924191;0.194218382124884;0.266203114063707;0.209789946875206;0.189909402165293;0.0805870990698139;0.0216743732392455;0.0141406207361637;NA;NA
"2004 1";"flounder";7.28026211898403e-08;0.240045639000407;0.517169282155107;0.185580429196557;0.0374507128954253;0.0145331806751223;0.00350207583962595;0.0010936935920858;0.000358717715265021;0.000120244312323827;0.000145951815458838
"2004 1";"plaice";1.80958850817749e-07;0.276972278357283;0.509587688471556;0.167925879718381;0.0334429096652596;0.00907472207237144;0.00217920888083545;0.000574937801295536;0.000127286949149499;4.94954411465325e-05;6.54116838707254e-05
