"sampling";"species";"age0";"age1";"age2";"age3";"age4";"age5";"age6";"age7";"age8";"age9";"age10"
"2013 2";"dab";7.6247751166432e-08;0.00351353295021535;0.104399218360218;0.2719479943022;0.231777140030178;0.183181900516568;0.107422905212508;0.0499352162139744;0.0285243206493945;0.0105446761491346;0.0087530193678582
"2013 3";"cod";0.000187274133066807;0.230358138776895;0.373481247525245;0.309720900975283;0.0511079051218125;0.0330222872800341;0.0011747153253712;0.000947530862291844;NA;NA;NA
"2013 3";"herring";3.2024828950436e-06;0.00310466124457061;0.0443152738610155;0.186856561160318;0.204405408257708;0.178283482224142;0.141815982272251;0.12320600374332;0.11800942475378;NA;NA
"2013 3";"flounder";1.48890472410062e-06;0.00252830763702554;0.0522050584097515;0.191794391829002;0.226673352104692;0.195930937433356;0.135081116939606;0.0832071095809915;0.048846076799381;0.027214380170863;0.0365177801906081
"2013 3";"plaice";2.74569375852266e-05;0.00282434885822087;0.0699614740745692;0.16555870567682;0.234224906461305;0.213079153128354;0.138665548242191;0.0842011537741457;0.0468231542635451;0.0227450004446239;0.0218890981386405
"2013 3";"dab";1.55308986553409e-06;0.0109730647440022;0.146535290750259;0.281248922231294;0.221471632203048;0.163580743864917;0.0935377253292862;0.042458618088367;0.0239366247601688;0.0089202249681852;0.00733559997060808
"2013 4";"cod";0.00161683405189777;0.423018721868546;0.344616790328296;0.184628369055418;0.0267166604032839;0.0182639605380686;0.000607529321043117;0.000531134433446744;NA;NA;NA
"2013 4";"herring";5.79938547971658e-05;0.00776918519149222;0.068825346601049;0.219847210144906;0.199231621709678;0.162422258369349;0.120425189487526;0.121479948351634;0.0999412462895675;NA;NA
"2013 4";"flounder";2.62652095878217e-05;0.00817348217702423;0.0909835313958149;0.223231444555861;0.219244724386376;0.176015543145917;0.117065640446198;0.0707028502737204;0.0410783381196248;0.0227015851602358;0.0307765951296406
"2013 4";"plaice";0.000189841530099641;0.0074262409233661;0.110297181960382;0.194050454426325;0.228769810156833;0.191728577184868;0.120731942948946;0.0717114556560463;0.0389049198913459;0.0185580084768226;0.017631566844964
"2013 4";"dab";5.97028788041968e-05;0.0357048142146404;0.200170239378385;0.280944570712167;0.200046665764249;0.138461688863929;0.0773649946279736;0.0343981889074116;0.0195292479165814;0.00749182723493677;0.00582805950092088
"2014 1";"cod";9.19254300318771e-07;0.00712291620050662;0.589857756142248;0.271453617824224;0.10587998914417;0.0144850391809817;0.0105840568453959;0.000615705408172486;NA;NA;NA
"2014 1";"herring";6.19823692377006e-10;0.000459819044696514;0.0185212957465354;0.107677731474169;0.268192621409983;0.206260349629059;0.157822082661468;0.119273367009998;0.121792732404268;NA;NA
"2014 1";"flounder";1.04375036065744e-08;0.000223869029813151;0.0220557274927539;0.139067838962115;0.241850508137191;0.206945330789293;0.15442300707222;0.0992977067152829;0.0588980472074111;0.0339734819896633;0.0432644721667532
"2014 1";"plaice";2.10881705367653e-07;0.000905901967720205;0.0174792868817697;0.155942326508618;0.213370886023806;0.217000464571562;0.169440641927603;0.104099844589557;0.060872574560551;0.0322994082464203;0.0285884538406872
"2014 1";"dab";2.57067368222744e-07;0.00092298550827532;0.0872847735093446;0.240355454683344;0.269171525926865;0.175464314241372;0.114383894994548;0.0607647801267383;0.0269601023139837;0.0148548491177671;0.0098370625103947
"2014 2";"cod";9.54532467431281e-06;0.0207398556320069;0.684708857013352;0.209466513507219;0.0682508687901182;0.00927366225106912;0.00714594432967054;0.000404753151889292;NA;NA;NA
"2014 2";"herring";3.5198738327815e-08;0.00137946086246382;0.0300954220194098;0.132708373901999;0.276108805781362;0.192257714559932;0.140555462452894;0.118972215074044;0.107922510149158;NA;NA
"2014 2";"flounder";7.78524835194057e-08;0.000818457071714175;0.0409314755689807;0.174787726669478;0.246603892287684;0.192634854752427;0.138958297700439;0.087215911877315;0.0511887013384174;0.0293549674264946;0.0375056374545664
"2014 2";"plaice";4.43965472746356e-06;0.00251285526635728;0.0306164646562622;0.188604530632084;0.221928957604419;0.204757423324868;0.152697195400429;0.0927919602976555;0.0537220868044653;0.0280045408868043;0.0243595454719284
"2014 2";"dab";1.26177407153222e-07;0.00393919441564259;0.136660870761461;0.259681294192805;0.249895611538043;0.156387484444477;0.0990453566940161;0.0512186022683533;0.0225164359479973;0.0124959710360419;0.00815905252375601
"2014 3";"cod";0.000149650868321943;0.0478707485848784;0.731736124271864;0.162352063980654;0.046123973298433;0.006335155919816;0.00514665639343979;0.000285626682592461;NA;NA;NA
"2014 3";"herring";1.76936499653224e-06;0.00318107920574956;0.0436448468427562;0.153804878776824;0.279995546037436;0.178737682740728;0.125098049725344;0.119171575080629;0.0963645722255372;NA;NA
"2014 3";"flounder";1.39198414068501e-06;0.00227770678943861;0.0657812351437747;0.203956033597412;0.243984580058068;0.178221974696843;0.125092295748195;0.0772324139972678;0.0449430718996775;0.0256119889011287;0.0328973071840536
"2014 3";"plaice";2.90581211157757e-05;0.00567748691882421;0.0483165658196703;0.213924366452731;0.223929676193964;0.192664220564664;0.13822232982093;0.0834383878400625;0.0480749466654335;0.0246445999830599;0.0210783616195439
"2014 3";"dab";2.15054378104217e-06;0.0111570708932475;0.183406237806583;0.268715519958359;0.231051732071084;0.139422038565443;0.0859423416472821;0.0436591614297205;0.0190320686889285;0.0106676174420669;0.00694406095350452
"2014 4";"cod";0.00160801855862157;0.117386014827642;0.728404820240512;0.115516730924318;0.029223106199052;0.00410339420088851;0.00356808565215213;0.000189829396813718;NA;NA;NA
"2014 4";"herring";3.12251269479824e-05;0.00799847916334557;0.0658343251480431;0.179617312321137;0.278393121036736;0.16163366312561;0.107801190537688;0.115543882708396;0.0831468008320968;NA;NA
"2014 4";"flounder";2.56422825566898e-05;0.00731287249226667;0.108804272545997;0.234399247708569;0.2331994487321;0.15809510601549;0.107300550474121;0.0649634373280393;0.0373783062211821;0.0212035149079699;0.0273176012917091
"2014 4";"plaice";0.000200117350507517;0.0149310283377992;0.0805174222091536;0.240189121152908;0.219968621224017;0.174123377813023;0.119829681651033;0.0715865678148586;0.0408336415050922;0.0205526340887231;0.0172677868528849
"2014 4";"dab";6.53507805702103e-05;0.0352544077534406;0.244133958988192;0.263152689488139;0.202813401971264;0.119338045926554;0.0707569723240012;0.0352130115425369;0.0153986208184625;0.00835168465145751;0.00552185575538258
"2015 1";"cod";1.89155367850003e-06;0.0123001373630862;0.247493830890211;0.639030330962171;0.0774005584787471;0.0182224554014186;0.00263658006280813;0.00291421528787951;NA;NA;NA
"2015 1";"herring";5.020626331093e-10;0.000244889889716849;0.0194755005290537;0.0991118267075465;0.215368239634428;0.291236761052508;0.154284702707647;0.106784193672207;0.11349388530483;NA;NA
"2015 1";"flounder";2.78822641541631e-08;0.000262992395044629;0.0210447827097664;0.163728194743528;0.254319327766815;0.213415371095162;0.136546886195742;0.08956504719698;0.0530441171960929;0.0301606161508351;0.0379126366677709
"2015 1";"plaice";2.65327019044841e-07;0.00100526020271498;0.0349522243654041;0.123001014907209;0.25268644784502;0.208294211562357;0.153778700912264;0.102063600849218;0.0605404698965573;0.0342709300905805;0.0294068740416556
"2015 1";"dab";1.3045092738023e-07;0.000693293338326359;0.0794532514431859;0.290062806241854;0.246529117086398;0.174669238308351;0.0991339024224252;0.0573533758677831;0.0280016747373844;0.0123942043539199;0.0117090057494452
"2015 2";"cod";1.37730118515782e-05;0.0384201223702676;0.353804031431145;0.534674383185464;0.0556506774096893;0.0131099056684221;0.00196655603755633;0.00236055088560387;NA;NA;NA
"2015 2";"herring";3.65277793016816e-08;0.000748416411903819;0.0330767894790191;0.12143857663787;0.225376548854682;0.275829879252024;0.136665649074271;0.107649322412173;0.0992147813502788;NA;NA
"2015 2";"flounder";1.65017641002619e-07;0.00096421261433046;0.0386913247150329;0.201101539285087;0.255871803167223;0.196315139642081;0.122299574437834;0.079219588333237;0.0463461690550266;0.0262203723173856;0.0329701114151211
